,LOCATION,TIME,Value
625,ZMB,2007,2589.986172
626,ZMB,2008,2768.860353
627,ZMB,2009,2961.483104
628,ZMB,2010,3212.447852
629,ZMB,2011,3361.606878
630,ZMB,2012,3576.373281
631,ZMB,2013,3701.581648
632,ZMB,2014,3826.164471
633,ZMB,2015,3862.1284520000004
634,ZMB,2016,3937.4299130000004
