Year,Australia,Bulgaria,China (Mainland),Colombia,France,"Germany, Fed. Republic",Greece,India,Italy,Japan,Mexico,Peru,Saudi Arabia,Turkey,United Kingdom,Zambia,Mean
2006,,,,,,,,,,,,,,,,,
2007,-0.31297081558207496,0.0,0.26175937368774527,0.09734414184405171,-0.9192135755491125,1.3926045326955299,0.5420040897584777,2.1914144020661652,0.4828769099937442,0.0680138639303256,0.07108727352225941,6.254043025318433,0.13471935224875176,-0.2706608439503687,16.722995633171656,,1.7810678242103724
2008,0.26052262511644475,-0.5972403908635452,0.11620131226381014,0.1452819052890435,1.3820763165527876,1.2193744730739353,-0.29043725638602425,0.47591118428100465,2.8758431842737067,0.20745446997125772,0.20556643559494847,-0.6454137040837256,1.6994152996963794,0.06487395232723792,1.5221562391013652,0.0,0.5400991278880392
2009,0.6907826865006479,0.0,-0.015740088981485267,0.1470936989924203,0.3505382122112164,0.2415199240596455,0.35219455412361556,-0.8540078547342993,-0.08697223302656532,-0.40984231419594863,0.19613567216451333,2.7665440200134697,-0.3616656157142477,-0.13070098147592302,-0.9771486952721398,0.0,0.11929568654155749
2010,-0.3914123202877502,0.0,-0.8315507200933633,0.23075867524338323,2.534731190141671,0.09194598235279017,-0.4961686849640027,1.0210951879060541,-0.1907105482057816,1.1984377776218915,0.17723899450229674,3.2362900887506765,0.10709198140670706,-0.29735113958351633,0.3378892048841793,0.0,0.4205178543547022
2011,1.42233132615522,0.0,0.2185147515660537,-0.08513029515590209,5.565671686222736,0.014899904552348575,-0.455821794950081,5.418574054756152,-0.42404695065350384,0.33405055985488885,0.05459728290451249,-0.19585840237339958,0.34385448850619493,-0.061887246522095096,0.6661905032871325,0.0,0.8009962417593911
2012,0.4924399494032523,0.0,0.39719064221589795,0.10601324924238842,-0.7556365545820853,0.28268486057198516,-0.40534782084219,-0.8425117259693833,-0.5741571651375446,-0.5373577534777109,0.23245363730766044,0.09531456526206772,1.3290242002648545,0.5280318169377827,-0.21443983775790842,0.0,0.008356378964941666
2013,0.10224290751869436,0.0,0.37510631202176925,0.09532167458549079,-0.9594120758472727,-0.2906631464622156,-0.4246135293850666,-0.8496403085722266,1.2285950536700798,-0.26188796610214005,0.15957156954788076,0.2544056591679422,1.1183693155207695,-0.02124332233097226,-0.6072088071553845,0.0,-0.005066041488915735
2014,0.2026818438242366,0.0,-0.09609770782587901,0.0016528952289571741,-0.24825318107774363,0.007608138526910002,-0.5981835474883498,3.875870280508499,-0.8626426421637585,0.16519398199920055,0.10020835578158294,0.05362483504947235,-0.3067709657547506,0.053803459710140444,0.27068933120886673,0.0,0.16371156734546155
2015,-0.08110482996565915,0.0,-0.9449524887455496,-0.03707708263044995,-0.08560746818118126,0.46964095920897164,-0.1851231814170834,-0.9168992775917719,-0.07748119587440405,-0.11603075970417476,-0.023681216918336023,0.4093444195668039,-0.36048231604716685,-0.4511544905263557,5.608983720386557,0.0,0.20052342447251248
2016,-0.24266569109881908,0.0,-0.6483753734631451,0.8811740660973975,14.602304134090314,-0.24861101769759675,-0.3387660483921231,15.094583321895406,0.7400954334263319,-0.12743402922548885,-0.028033847933601086,1.1253413892596607,0.060215237696720436,0.3215880965785112,-0.5785202999844241,0.0,1.9133059607030716
