,COMMODITY_DESC,GEOGRAPHY_DESC,UNIT_DESC,YEAR_ID,AMOUNT
126496,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container less ",Argentina,CWE,2006,361382.9610132
126497,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container less ",Argentina,CWE,2006,142054.15718339998
135627,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container less ",Argentina,CWE,2006,66241.3953852
147361,Beef and veal,Argentina,KG,2006,1769376.0
147362,Beef and veal,Argentina,KG,2006,1923646.0
147485,Beef and veal,Argentina,CWE,2006,8991821.5545816
147540,Beef and veal,Argentina,CWE,2006,8816343.18939486
147541,Beef and veal,Argentina,CWE,2006,3328454.36564046
147542,Beef and veal,Argentina,CWE,2006,7284985.82976024
150022,Beef and veal,Argentina,KG,2006,2116109.0
150023,Beef and veal,Argentina,KG,2006,1167115.0
150024,Beef and veal,Argentina,KG,2006,1746213.0
150025,Beef and veal,Argentina,KG,2006,2162331.0
150259,Beef and veal,Argentina,KG,2006,2152380.0
150260,Beef and veal,Argentina,KG,2006,2136601.0
150261,Beef and veal,Argentina,KG,2006,1349521.0
160373,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,KG,2006,340708.0
160374,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,KG,2006,997065.0
160375,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,KG,2006,1313651.0
160376,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,KG,2006,1070457.0
161477,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,CWE,2006,3423190.03740504
161478,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,CWE,2006,1612356.56082648
161479,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,CWE,2006,1322314.06542228
161480,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,CWE,2006,2831219.35619292
161481,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,CWE,2006,2235963.96457056
161555,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,CWE,2006,1445435.10523944
161596,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,CWE,2006,2507495.74818372
161597,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,CWE,2006,1865501.66468232
161598,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,CWE,2006,1810782.1529784
164384,Beef and veal,Argentina,CWE,2006,8940258.40019508
164385,Beef and veal,Argentina,CWE,2006,5610490.74122922
164386,Beef and veal,Argentina,CWE,2006,10196182.1039236
164387,Beef and veal,Argentina,CWE,2006,8014283.64994068
165499,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,KG,2006,92173.0
165500,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,KG,2006,233525.0
165501,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,KG,2006,187829.0
165502,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,KG,2006,139763.0
165503,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,KG,2006,179859.0
